edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud
47,2209,15.0,28.0,1,526000.0,1.0,0,1,1
35,1225,19.0,35.0,1,526000.0,7.0,0,0,1
28,784,14.0,64.0,1,1972500.0,12.0,0,0,1
54,2916,17.0,12.0,1,920500.0,1.0,0,0,0
58,3364,12.0,20.0,1,526000.0,1.0,1,0,1
50,2500,15.0,45.0,3,1183500.0,11.0,1,0,1
47,2209,17.0,35.0,3,1183500.0,9.0,1,0,1
56,3136,14.0,45.0,2,1315000.0,6.0,1,1,1
72,5184,14.0,45.0,2,1315000.0,6.0,0,1,1
26,676,10.0,40.0,2,526000.0,3.0,0,1,1
27,729,11.0,40.0,2,102570.0,6.0,1,1,1
53,2809,7.0,44.0,1,1052000.0,1.0,0,1,0
56,3136,9.0,65.0,2,789000.0,3.0,0,1,1
54,2916,9.0,65.0,2,0.0,3.0,1,1,1
40,1600,15.0,20.0,3,631200.0,7.0,1,1,1
30,900,17.0,45.0,3,920500.0,1.0,1,1,1
61,3721,8.0,60.0,4,1578000.0,4.0,0,0,0
29,841,12.0,60.0,4,526000.0,4.0,0,0,0
22,484,12.0,60.0,4,789000.0,1.0,1,0,0
42,1764,12.0,68.0,1,2630000.0,1.0,0,0,1
55,3025,12.0,48.0,1,1841000.0,6.0,0,0,1
44,1936,19.0,40.0,4,3287500.0,9.0,0,1,1
41,1681,15.0,40.0,4,1578000.0,8.0,1,1,1
47,2209,9.0,48.0,4,394500.0,1.0,1,1,0
30,900,15.0,4.0,2,526000.0,11.0,0,0,1
33,1089,12.0,45.0,3,1117750.0,7.0,0,1,1
49,2401,6.0,48.0,4,263000.0,1.0,0,1,0
41,1681,17.0,40.0,3,2367000.0,7.0,0,1,1
40,1600,17.0,40.0,3,2367000.0,11.0,1,1,1
32,1024,12.0,42.0,3,585175.0,7.0,1,0,1
48,2304,15.0,72.0,1,1315000.0,2.0,1,0,1
20,400,12.0,40.0,7,0.0,3.0,0,1,0
48,2304,8.0,49.0,4,1709500.0,6.0,0,0,1
31,961,15.0,30.0,2,789000.0,9.0,1,1,1
32,1024,17.0,30.0,2,920500.0,5.0,0,1,1
34,1156,17.0,40.0,1,1052000.0,1.0,0,0,1
27,729,9.0,40.0,4,762700.0,8.0,0,1,1
68,4624,15.0,44.0,1,578600.0,5.0,0,0,1
40,1600,8.0,40.0,2,920500.0,8.0,0,1,1
57,3249,17.0,48.0,2,789000.0,9.0,1,1,1
39,1521,17.0,48.0,2,1841000.0,9.0,0,1,1
49,2401,17.0,54.0,3,2761500.0,7.0,0,1,1
65,4225,15.0,30.0,2,1052000.0,9.0,1,1,1
46,2116,10.0,40.0,3,854750.0,6.0,1,0,1
53,2809,12.0,40.0,1,526000.0,3.0,0,0,1
54,2916,6.0,72.0,3,1183500.0,1.0,0,1,1
43,1849,15.0,45.0,1,762700.0,9.0,0,0,1
23,529,13.0,60.0,4,558875.0,7.0,1,0,0
34,1156,12.0,60.0,4,105200.0,1.0,0,1,1
33,1089,12.0,60.0,4,105200.0,2.0,0,1,1
43,1849,6.0,54.0,1,1052000.0,7.0,0,0,0
49,2401,9.0,84.0,3,2630000.0,8.0,0,1,1
50,2500,14.0,46.0,2,1117750.0,7.0,1,1,1
56,3136,19.0,46.0,2,2630000.0,10.0,0,1,1
53,2809,12.0,30.0,3,3945000.0,11.0,0,0,1
18,324,3.0,40.0,7,420800.0,3.0,1,1,0
23,529,16.0,30.0,2,105200.0,3.0,0,0,1
50,2500,12.0,35.0,2,1052000.0,8.0,1,0,1
23,529,12.0,40.0,1,1052000.0,6.0,0,1,1
51,2601,6.0,60.0,2,1052000.0,1.0,0,0,1
46,2116,12.0,48.0,2,1249250.0,8.0,1,0,1
48,2304,9.0,36.0,3,197250.0,1.0,1,0,0
65,4225,10.0,45.0,1,854750.0,1.0,0,0,0
34,1156,6.0,40.0,5,263000.0,5.0,0,1,0
62,3844,12.0,30.0,1,719305.0,10.0,0,0,1
57,3249,13.0,30.0,4,657500.0,1.0,0,1,0
38,1444,6.0,26.0,1,526000.0,1.0,0,0,0
38,1444,12.0,9.0,1,394500.0,5.0,0,0,0
44,1936,12.0,45.0,1,1414940.0,10.0,0,0,1
58,3364,12.0,8.0,2,151225.0,2.0,1,0,0
24,576,12.0,8.0,2,328750.0,1.0,0,0,0
26,676,7.0,40.0,1,920500.0,6.0,0,0,0
47,2209,12.0,36.0,1,526000.0,7.0,0,0,1
27,729,17.0,40.0,2,394500.0,1.0,1,1,1
42,1764,17.0,40.0,3,1315000.0,11.0,0,1,1
44,1936,17.0,40.0,3,657500.0,9.0,1,1,1
39,1521,12.0,40.0,2,263000.0,3.0,1,0,0
24,576,17.0,40.0,1,197250.0,1.0,1,0,1
35,1225,15.0,45.0,2,1183500.0,11.0,1,0,1
34,1156,14.0,45.0,2,789000.0,11.0,1,0,1
45,2025,12.0,30.0,6,736400.0,9.0,1,0,1
28,784,12.0,30.0,6,526000.0,7.0,0,0,0
44,1936,17.0,52.0,3,1709500.0,12.0,0,1,1
45,2025,16.0,52.0,3,657500.0,3.0,1,1,1
23,529,17.0,36.0,3,526000.0,12.0,1,0,1
21,441,10.0,36.0,3,526000.0,12.0,0,0,1
52,2704,9.0,70.0,1,1104600.0,5.0,0,0,0
58,3364,17.0,48.0,3,526000.0,2.0,0,1,1
54,2916,19.0,48.0,3,263000.0,2.0,1,1,1
53,2809,12.0,30.0,6,1183500.0,12.0,0,1,1
24,576,12.0,30.0,6,526000.0,12.0,0,0,1
41,1681,12.0,30.0,2,526000.0,2.0,1,0,1
38,1444,12.0,48.0,2,1249250.0,7.0,0,0,1
37,1369,12.0,48.0,2,657500.0,4.0,0,0,0
